company_id,as_of_date,industry,region,revenue,ebitda,debt,cash,working_capital,compliance_incidents,default_probability,operational_incidents,risk_flag,total_assets,total_equity,current_assets,current_liabilities,interest_expense,accounts_receivable,net_income,retained_earnings
C001,2024-12-31,Software,NA,12000000,2400000,3500000,900000,1500000,0,0.02,1,0,18000000,14500000,2400000,900000,140000,1800000,1440000,8700000
C002,2024-12-31,Manufacturing,EU,18000000,1900000,7200000,600000,800000,1,0.05,3,1,27000000,19800000,1400000,600000,288000,2700000,1140000,11880000
C003,2024-12-31,Healthcare,APAC,9500000,1600000,1500000,750000,1200000,0,0.03,1,0,14250000,12750000,1950000,750000,60000,1425000,960000,7650000
C004,2024-12-31,Energy,NA,25000000,4000000,13000000,500000,2000000,2,0.09,4,1,37500000,24500000,2500000,500000,520000,3750000,2400000,14700000
C005,2024-12-31,Retail,NA,14000000,1200000,5000000,400000,600000,1,0.06,2,1,21000000,16000000,1000000,400000,200000,2100000,720000,9600000
C006,2024-12-31,Software,EU,8000000,1500000,1200000,450000,900000,0,0.02,1,0,12000000,10800000,1350000,450000,48000,1200000,900000,6480000
C007,2024-12-31,Manufacturing,NA,21000000,2500000,8000000,300000,700000,2,0.08,3,1,31500000,23500000,1000000,300000,320000,3150000,1500000,14100000
C008,2024-12-31,Healthcare,EU,11000000,1700000,2000000,650000,1100000,0,0.03,1,0,16500000,14500000,1760000,660000,80000,1650000,1020000,8700000
C009,2024-12-31,Energy,APAC,30000000,4200000,15000000,700000,2500000,3,0.10,4,1,45000000,30000000,3200000,700000,600000,4500000,2520000,18000000
C010,2024-12-31,Retail,NA,9000000,900000,3200000,350000,500000,1,0.07,2,1,13500000,10300000,850000,350000,128000,1350000,540000,6180000
C011,2024-12-31,Software,APAC,15000000,2600000,2800000,850000,1400000,0,0.02,1,0,22500000,19700000,2250000,850000,112000,2250000,1560000,11820000
C012,2024-12-31,Manufacturing,EU,16000000,1800000,6400000,550000,850000,1,0.05,3,1,24000000,17600000,1400000,550000,256000,2400000,1080000,10560000
C013,2024-12-31,Healthcare,NA,13000000,2100000,2600000,800000,1300000,0,0.03,1,0,19500000,16900000,2100000,800000,104000,1950000,1260000,10140000
C014,2024-12-31,Energy,EU,27000000,4100000,14000000,600000,2300000,2,0.09,4,1,40500000,26500000,2900000,600000,560000,4050000,2460000,15900000
C015,2024-12-31,Retail,APAC,10000000,1000000,3600000,300000,550000,1,0.07,2,1,15000000,11400000,850000,300000,144000,1500000,600000,6840000
C016,2024-12-31,Software,NA,17000000,2800000,3000000,950000,1600000,0,0.02,1,0,25500000,22500000,2550000,950000,120000,2550000,1680000,13500000
C017,2024-12-31,Manufacturing,APAC,19000000,2000000,7600000,500000,820000,2,0.06,3,1,28500000,20900000,1320000,500000,304000,2850000,1200000,12540000
C018,2024-12-31,Healthcare,EU,12500000,1900000,2400000,700000,1250000,0,0.03,1,0,18750000,16350000,1950000,700000,96000,1875000,1140000,9810000
C019,2024-12-31,Energy,NA,26000000,3900000,13500000,550000,2100000,2,0.09,4,1,39000000,25500000,2650000,550000,540000,3900000,2340000,15300000
C020,2024-12-31,Retail,EU,9500000,850000,3300000,280000,520000,1,0.07,2,1,14250000,10950000,800000,280000,132000,1425000,510000,6570000
